#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases 
0.000000000000000000e+00,9.992000000000000000e+03,3.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.991000000000000000e+03,3.000000000000000000e+00,6.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.990000000000000000e+03,4.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
3.000000000000000000e+00,9.990000000000000000e+03,3.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
4.000000000000000000e+00,9.989000000000000000e+03,4.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,9.988000000000000000e+03,5.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
6.000000000000000000e+00,9.985000000000000000e+03,8.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
7.000000000000000000e+00,9.984000000000000000e+03,7.000000000000000000e+00,8.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
8.000000000000000000e+00,9.983000000000000000e+03,6.000000000000000000e+00,1.000000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
9.000000000000000000e+00,9.981000000000000000e+03,6.000000000000000000e+00,1.200000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.000000000000000000e+01,9.978000000000000000e+03,9.000000000000000000e+00,1.200000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.100000000000000000e+01,9.978000000000000000e+03,9.000000000000000000e+00,1.200000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.200000000000000000e+01,9.977000000000000000e+03,8.000000000000000000e+00,1.400000000000000000e+01,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.300000000000000000e+01,9.976000000000000000e+03,7.000000000000000000e+00,1.600000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
1.400000000000000000e+01,9.976000000000000000e+03,6.000000000000000000e+00,1.600000000000000000e+01,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
1.500000000000000000e+01,9.973000000000000000e+03,9.000000000000000000e+00,1.500000000000000000e+01,8.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
1.600000000000000000e+01,9.971000000000000000e+03,1.000000000000000000e+01,1.500000000000000000e+01,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
1.700000000000000000e+01,9.968000000000000000e+03,1.100000000000000000e+01,1.700000000000000000e+01,8.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
1.800000000000000000e+01,9.967000000000000000e+03,1.200000000000000000e+01,1.700000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00
1.900000000000000000e+01,9.965000000000000000e+03,1.200000000000000000e+01,1.800000000000000000e+01,8.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
2.000000000000000000e+01,9.963000000000000000e+03,1.300000000000000000e+01,1.800000000000000000e+01,9.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.100000000000000000e+01,9.962000000000000000e+03,1.300000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.200000000000000000e+01,9.959000000000000000e+03,1.400000000000000000e+01,1.900000000000000000e+01,1.100000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00
2.300000000000000000e+01,9.954000000000000000e+03,1.700000000000000000e+01,2.100000000000000000e+01,1.200000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.400000000000000000e+01,9.953000000000000000e+03,1.600000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
2.500000000000000000e+01,9.949000000000000000e+03,1.800000000000000000e+01,2.300000000000000000e+01,1.100000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.600000000000000000e+01,9.947000000000000000e+03,1.800000000000000000e+01,2.400000000000000000e+01,1.000000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
2.700000000000000000e+01,9.946000000000000000e+03,1.500000000000000000e+01,2.800000000000000000e+01,1.400000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
2.800000000000000000e+01,9.944000000000000000e+03,1.400000000000000000e+01,3.000000000000000000e+01,1.700000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00
2.900000000000000000e+01,9.942000000000000000e+03,1.400000000000000000e+01,3.100000000000000000e+01,1.800000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,5.000000000000000000e+00
3.000000000000000000e+01,9.941000000000000000e+03,1.500000000000000000e+01,2.900000000000000000e+01,1.600000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+00
3.100000000000000000e+01,9.938000000000000000e+03,1.600000000000000000e+01,3.000000000000000000e+01,1.600000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00
3.200000000000000000e+01,9.937000000000000000e+03,1.400000000000000000e+01,3.200000000000000000e+01,1.800000000000000000e+01,1.600000000000000000e+01,1.000000000000000000e+00,1.900000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
3.300000000000000000e+01,9.933000000000000000e+03,1.500000000000000000e+01,3.400000000000000000e+01,1.800000000000000000e+01,1.700000000000000000e+01,1.000000000000000000e+00,1.800000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00
3.400000000000000000e+01,9.932000000000000000e+03,1.600000000000000000e+01,3.300000000000000000e+01,1.600000000000000000e+01,1.800000000000000000e+01,1.000000000000000000e+00,1.900000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,7.000000000000000000e+00
3.500000000000000000e+01,9.930000000000000000e+03,1.700000000000000000e+01,3.100000000000000000e+01,1.500000000000000000e+01,2.100000000000000000e+01,1.000000000000000000e+00,1.900000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,5.000000000000000000e+00
