#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases, 11: Cumulative Inf Count 
0.000000000000000000e+00,1.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.996000000000000000e+03,1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.000000000000000000e+00,9.993000000000000000e+03,1.000000000000000000e+00,7.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00
3.000000000000000000e+00,9.987000000000000000e+03,5.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.500000000000000000e+01
4.000000000000000000e+00,9.983000000000000000e+03,8.000000000000000000e+00,1.200000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.000000000000000000e+01
5.000000000000000000e+00,9.975000000000000000e+03,1.200000000000000000e+01,1.700000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.900000000000000000e+01
6.000000000000000000e+00,9.967000000000000000e+03,1.700000000000000000e+01,2.000000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,3.700000000000000000e+01
7.000000000000000000e+00,9.962000000000000000e+03,1.800000000000000000e+01,2.400000000000000000e+01,1.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.300000000000000000e+01
8.000000000000000000e+00,9.948000000000000000e+03,2.700000000000000000e+01,2.800000000000000000e+01,1.600000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,5.800000000000000000e+01
9.000000000000000000e+00,9.942000000000000000e+03,2.800000000000000000e+01,3.300000000000000000e+01,1.900000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.400000000000000000e+01
1.000000000000000000e+01,9.932000000000000000e+03,3.100000000000000000e+01,3.900000000000000000e+01,2.200000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,7.500000000000000000e+01
1.100000000000000000e+01,9.920000000000000000e+03,3.600000000000000000e+01,4.500000000000000000e+01,2.400000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,4.000000000000000000e+00,8.800000000000000000e+01
1.200000000000000000e+01,9.907000000000000000e+03,4.000000000000000000e+01,5.400000000000000000e+01,3.100000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00,6.000000000000000000e+00,1.020000000000000000e+02
1.300000000000000000e+01,9.897000000000000000e+03,4.300000000000000000e+01,6.000000000000000000e+01,3.700000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,6.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+00,1.120000000000000000e+02
1.400000000000000000e+01,9.885000000000000000e+03,4.500000000000000000e+01,6.700000000000000000e+01,3.900000000000000000e+01,1.100000000000000000e+01,1.000000000000000000e+00,2.100000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,7.000000000000000000e+00,1.250000000000000000e+02
1.500000000000000000e+01,9.867000000000000000e+03,5.600000000000000000e+01,7.200000000000000000e+01,4.300000000000000000e+01,1.300000000000000000e+01,1.000000000000000000e+00,2.600000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,1.200000000000000000e+01,1.440000000000000000e+02
1.600000000000000000e+01,9.858000000000000000e+03,5.400000000000000000e+01,8.100000000000000000e+01,4.700000000000000000e+01,1.600000000000000000e+01,1.000000000000000000e+00,3.200000000000000000e+01,6.000000000000000000e+00,7.000000000000000000e+00,1.200000000000000000e+01,1.540000000000000000e+02
1.700000000000000000e+01,9.842000000000000000e+03,6.300000000000000000e+01,8.600000000000000000e+01,5.100000000000000000e+01,1.700000000000000000e+01,2.000000000000000000e+00,3.500000000000000000e+01,6.000000000000000000e+00,7.000000000000000000e+00,1.600000000000000000e+01,1.700000000000000000e+02
