#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases, 11: Cumulative Inf Count 
0.000000000000000000e+00,2.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,1.999600000000000000e+04,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.000000000000000000e+00,1.999300000000000000e+04,4.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00
3.000000000000000000e+00,1.998900000000000000e+04,6.000000000000000000e+00,7.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01
4.000000000000000000e+00,1.998600000000000000e+04,7.000000000000000000e+00,1.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,1.700000000000000000e+01
5.000000000000000000e+00,1.998200000000000000e+04,7.000000000000000000e+00,1.500000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.200000000000000000e+01
6.000000000000000000e+00,1.997700000000000000e+04,1.100000000000000000e+01,1.600000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,2.700000000000000000e+01
7.000000000000000000e+00,1.997300000000000000e+04,1.200000000000000000e+01,1.900000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,3.200000000000000000e+01
8.000000000000000000e+00,1.996500000000000000e+04,1.400000000000000000e+01,2.500000000000000000e+01,1.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.100000000000000000e+01
9.000000000000000000e+00,1.995900000000000000e+04,1.700000000000000000e+01,2.800000000000000000e+01,1.400000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,4.700000000000000000e+01
1.000000000000000000e+01,1.995100000000000000e+04,2.200000000000000000e+01,3.000000000000000000e+01,1.500000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,5.600000000000000000e+01
1.100000000000000000e+01,1.994100000000000000e+04,2.800000000000000000e+01,3.500000000000000000e+01,1.800000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,6.700000000000000000e+01
1.200000000000000000e+01,1.993400000000000000e+04,3.200000000000000000e+01,3.700000000000000000e+01,1.900000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,7.500000000000000000e+01
1.300000000000000000e+01,1.992000000000000000e+04,4.000000000000000000e+01,4.200000000000000000e+01,2.300000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,8.900000000000000000e+01
1.400000000000000000e+01,1.991100000000000000e+04,4.000000000000000000e+01,5.100000000000000000e+01,3.000000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.900000000000000000e+01
1.500000000000000000e+01,1.989600000000000000e+04,4.900000000000000000e+01,5.400000000000000000e+01,3.200000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,2.100000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,1.150000000000000000e+02
1.600000000000000000e+01,1.988400000000000000e+04,5.400000000000000000e+01,6.000000000000000000e+01,3.500000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,2.300000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,1.280000000000000000e+02
1.700000000000000000e+01,1.987400000000000000e+04,5.400000000000000000e+01,6.700000000000000000e+01,3.900000000000000000e+01,1.400000000000000000e+01,1.000000000000000000e+00,2.500000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,1.380000000000000000e+02
1.800000000000000000e+01,1.985800000000000000e+04,6.100000000000000000e+01,7.400000000000000000e+01,4.600000000000000000e+01,1.500000000000000000e+01,1.000000000000000000e+00,2.900000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00,1.550000000000000000e+02
1.900000000000000000e+01,1.983800000000000000e+04,7.000000000000000000e+01,8.200000000000000000e+01,4.900000000000000000e+01,1.800000000000000000e+01,1.000000000000000000e+00,3.600000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,6.000000000000000000e+00,1.780000000000000000e+02
2.000000000000000000e+01,1.981500000000000000e+04,8.300000000000000000e+01,9.300000000000000000e+01,5.200000000000000000e+01,2.000000000000000000e+01,1.000000000000000000e+00,3.900000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,2.050000000000000000e+02
2.100000000000000000e+01,1.979300000000000000e+04,9.200000000000000000e+01,1.050000000000000000e+02,6.100000000000000000e+01,2.400000000000000000e+01,1.000000000000000000e+00,4.600000000000000000e+01,2.000000000000000000e+01,0.000000000000000000e+00,1.200000000000000000e+01,2.310000000000000000e+02
2.200000000000000000e+01,1.977800000000000000e+04,9.300000000000000000e+01,1.180000000000000000e+02,6.100000000000000000e+01,2.800000000000000000e+01,1.000000000000000000e+00,5.400000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,2.490000000000000000e+02
2.300000000000000000e+01,1.975600000000000000e+04,1.020000000000000000e+02,1.280000000000000000e+02,6.800000000000000000e+01,3.400000000000000000e+01,1.000000000000000000e+00,5.900000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00,1.200000000000000000e+01,2.740000000000000000e+02
2.400000000000000000e+01,1.972900000000000000e+04,1.130000000000000000e+02,1.430000000000000000e+02,7.800000000000000000e+01,3.600000000000000000e+01,2.000000000000000000e+00,6.600000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,3.050000000000000000e+02
2.500000000000000000e+01,1.970600000000000000e+04,1.220000000000000000e+02,1.580000000000000000e+02,8.300000000000000000e+01,3.800000000000000000e+01,2.000000000000000000e+00,7.500000000000000000e+01,2.600000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,3.320000000000000000e+02
2.600000000000000000e+01,1.968400000000000000e+04,1.320000000000000000e+02,1.670000000000000000e+02,7.900000000000000000e+01,4.400000000000000000e+01,2.000000000000000000e+00,7.800000000000000000e+01,2.700000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,3.570000000000000000e+02
2.700000000000000000e+01,1.965700000000000000e+04,1.410000000000000000e+02,1.830000000000000000e+02,8.100000000000000000e+01,4.900000000000000000e+01,2.000000000000000000e+00,8.300000000000000000e+01,2.900000000000000000e+01,0.000000000000000000e+00,2.000000000000000000e+01,3.870000000000000000e+02
2.800000000000000000e+01,1.963000000000000000e+04,1.480000000000000000e+02,2.030000000000000000e+02,9.200000000000000000e+01,5.100000000000000000e+01,2.000000000000000000e+00,8.800000000000000000e+01,3.100000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,4.180000000000000000e+02
2.900000000000000000e+01,1.961000000000000000e+04,1.500000000000000000e+02,2.170000000000000000e+02,9.600000000000000000e+01,5.800000000000000000e+01,2.000000000000000000e+00,9.800000000000000000e+01,3.500000000000000000e+01,0.000000000000000000e+00,2.800000000000000000e+01,4.410000000000000000e+02
3.000000000000000000e+01,1.958700000000000000e+04,1.540000000000000000e+02,2.310000000000000000e+02,9.900000000000000000e+01,6.500000000000000000e+01,2.000000000000000000e+00,1.060000000000000000e+02,4.000000000000000000e+01,0.000000000000000000e+00,3.700000000000000000e+01,4.670000000000000000e+02
3.100000000000000000e+01,1.956200000000000000e+04,1.570000000000000000e+02,2.460000000000000000e+02,1.120000000000000000e+02,7.500000000000000000e+01,2.000000000000000000e+00,1.130000000000000000e+02,4.400000000000000000e+01,0.000000000000000000e+00,3.600000000000000000e+01,4.950000000000000000e+02
3.200000000000000000e+01,1.953700000000000000e+04,1.660000000000000000e+02,2.530000000000000000e+02,1.090000000000000000e+02,8.600000000000000000e+01,2.000000000000000000e+00,1.190000000000000000e+02,5.000000000000000000e+01,0.000000000000000000e+00,3.800000000000000000e+01,5.230000000000000000e+02
3.300000000000000000e+01,1.951700000000000000e+04,1.640000000000000000e+02,2.670000000000000000e+02,1.160000000000000000e+02,9.300000000000000000e+01,3.000000000000000000e+00,1.240000000000000000e+02,5.600000000000000000e+01,0.000000000000000000e+00,4.200000000000000000e+01,5.460000000000000000e+02
3.400000000000000000e+01,1.946800000000000000e+04,1.920000000000000000e+02,2.780000000000000000e+02,1.260000000000000000e+02,1.020000000000000000e+02,3.000000000000000000e+00,1.380000000000000000e+02,6.500000000000000000e+01,0.000000000000000000e+00,4.200000000000000000e+01,5.980000000000000000e+02
3.500000000000000000e+01,1.943200000000000000e+04,2.060000000000000000e+02,2.890000000000000000e+02,1.370000000000000000e+02,1.120000000000000000e+02,3.000000000000000000e+00,1.530000000000000000e+02,6.700000000000000000e+01,0.000000000000000000e+00,4.600000000000000000e+01,6.370000000000000000e+02
3.600000000000000000e+01,1.941300000000000000e+04,1.950000000000000000e+02,3.070000000000000000e+02,1.490000000000000000e+02,1.240000000000000000e+02,3.000000000000000000e+00,1.660000000000000000e+02,7.000000000000000000e+01,0.000000000000000000e+00,4.400000000000000000e+01,6.590000000000000000e+02
3.700000000000000000e+01,1.937400000000000000e+04,2.070000000000000000e+02,3.220000000000000000e+02,1.540000000000000000e+02,1.360000000000000000e+02,3.000000000000000000e+00,1.770000000000000000e+02,7.200000000000000000e+01,0.000000000000000000e+00,4.300000000000000000e+01,7.010000000000000000e+02
3.800000000000000000e+01,1.933300000000000000e+04,2.160000000000000000e+02,3.430000000000000000e+02,1.690000000000000000e+02,1.440000000000000000e+02,5.000000000000000000e+00,1.830000000000000000e+02,7.300000000000000000e+01,0.000000000000000000e+00,4.800000000000000000e+01,7.420000000000000000e+02
3.900000000000000000e+01,1.928400000000000000e+04,2.340000000000000000e+02,3.670000000000000000e+02,1.770000000000000000e+02,1.470000000000000000e+02,5.000000000000000000e+00,1.980000000000000000e+02,9.000000000000000000e+01,0.000000000000000000e+00,5.400000000000000000e+01,7.910000000000000000e+02
4.000000000000000000e+01,1.926300000000000000e+04,2.260000000000000000e+02,3.790000000000000000e+02,1.710000000000000000e+02,1.610000000000000000e+02,5.000000000000000000e+00,2.010000000000000000e+02,9.700000000000000000e+01,0.000000000000000000e+00,5.600000000000000000e+01,8.120000000000000000e+02
4.100000000000000000e+01,1.922800000000000000e+04,2.290000000000000000e+02,3.970000000000000000e+02,1.750000000000000000e+02,1.720000000000000000e+02,5.000000000000000000e+00,2.120000000000000000e+02,1.040000000000000000e+02,0.000000000000000000e+00,6.400000000000000000e+01,8.470000000000000000e+02
4.200000000000000000e+01,1.920100000000000000e+04,2.250000000000000000e+02,4.040000000000000000e+02,1.840000000000000000e+02,1.920000000000000000e+02,5.000000000000000000e+00,2.150000000000000000e+02,1.040000000000000000e+02,0.000000000000000000e+00,6.800000000000000000e+01,8.740000000000000000e+02
4.300000000000000000e+01,1.916200000000000000e+04,2.380000000000000000e+02,4.110000000000000000e+02,1.880000000000000000e+02,2.080000000000000000e+02,5.000000000000000000e+00,2.320000000000000000e+02,1.110000000000000000e+02,0.000000000000000000e+00,6.900000000000000000e+01,9.130000000000000000e+02
4.400000000000000000e+01,1.912200000000000000e+04,2.530000000000000000e+02,4.140000000000000000e+02,1.830000000000000000e+02,2.250000000000000000e+02,7.000000000000000000e+00,2.350000000000000000e+02,1.110000000000000000e+02,0.000000000000000000e+00,7.000000000000000000e+01,9.530000000000000000e+02
4.500000000000000000e+01,1.907700000000000000e+04,2.660000000000000000e+02,4.290000000000000000e+02,1.960000000000000000e+02,2.390000000000000000e+02,7.000000000000000000e+00,2.390000000000000000e+02,1.170000000000000000e+02,0.000000000000000000e+00,7.300000000000000000e+01,9.980000000000000000e+02
4.600000000000000000e+01,1.903800000000000000e+04,2.750000000000000000e+02,4.410000000000000000e+02,1.990000000000000000e+02,2.540000000000000000e+02,7.000000000000000000e+00,2.420000000000000000e+02,1.180000000000000000e+02,0.000000000000000000e+00,7.900000000000000000e+01,1.037000000000000000e+03
4.700000000000000000e+01,1.901200000000000000e+04,2.720000000000000000e+02,4.500000000000000000e+02,2.050000000000000000e+02,2.700000000000000000e+02,8.000000000000000000e+00,2.490000000000000000e+02,1.250000000000000000e+02,0.000000000000000000e+00,9.000000000000000000e+01,1.063000000000000000e+03
4.800000000000000000e+01,1.896300000000000000e+04,2.850000000000000000e+02,4.630000000000000000e+02,2.150000000000000000e+02,2.890000000000000000e+02,9.000000000000000000e+00,2.540000000000000000e+02,1.290000000000000000e+02,0.000000000000000000e+00,9.600000000000000000e+01,1.112000000000000000e+03
4.900000000000000000e+01,1.892800000000000000e+04,2.900000000000000000e+02,4.800000000000000000e+02,2.150000000000000000e+02,2.990000000000000000e+02,9.000000000000000000e+00,2.650000000000000000e+02,1.390000000000000000e+02,0.000000000000000000e+00,1.040000000000000000e+02,1.147000000000000000e+03
5.000000000000000000e+01,1.889800000000000000e+04,2.870000000000000000e+02,4.880000000000000000e+02,2.200000000000000000e+02,3.200000000000000000e+02,1.000000000000000000e+01,2.680000000000000000e+02,1.420000000000000000e+02,0.000000000000000000e+00,1.030000000000000000e+02,1.177000000000000000e+03
5.100000000000000000e+01,1.886300000000000000e+04,2.850000000000000000e+02,5.060000000000000000e+02,2.360000000000000000e+02,3.360000000000000000e+02,1.000000000000000000e+01,2.810000000000000000e+02,1.520000000000000000e+02,0.000000000000000000e+00,1.020000000000000000e+02,1.212000000000000000e+03
5.200000000000000000e+01,1.881700000000000000e+04,2.990000000000000000e+02,5.110000000000000000e+02,2.260000000000000000e+02,3.630000000000000000e+02,1.000000000000000000e+01,2.890000000000000000e+02,1.560000000000000000e+02,0.000000000000000000e+00,1.040000000000000000e+02,1.258000000000000000e+03
5.300000000000000000e+01,1.878500000000000000e+04,2.970000000000000000e+02,5.260000000000000000e+02,2.350000000000000000e+02,3.810000000000000000e+02,1.100000000000000000e+01,2.930000000000000000e+02,1.580000000000000000e+02,0.000000000000000000e+00,1.150000000000000000e+02,1.290000000000000000e+03
5.400000000000000000e+01,1.874700000000000000e+04,3.000000000000000000e+02,5.340000000000000000e+02,2.350000000000000000e+02,4.080000000000000000e+02,1.100000000000000000e+01,3.040000000000000000e+02,1.630000000000000000e+02,0.000000000000000000e+00,1.150000000000000000e+02,1.328000000000000000e+03
5.500000000000000000e+01,1.871100000000000000e+04,3.030000000000000000e+02,5.440000000000000000e+02,2.330000000000000000e+02,4.290000000000000000e+02,1.300000000000000000e+01,3.170000000000000000e+02,1.690000000000000000e+02,0.000000000000000000e+00,1.120000000000000000e+02,1.364000000000000000e+03
5.600000000000000000e+01,1.867000000000000000e+04,2.990000000000000000e+02,5.630000000000000000e+02,2.440000000000000000e+02,4.540000000000000000e+02,1.400000000000000000e+01,3.230000000000000000e+02,1.770000000000000000e+02,0.000000000000000000e+00,1.120000000000000000e+02,1.405000000000000000e+03
5.700000000000000000e+01,1.863600000000000000e+04,2.990000000000000000e+02,5.680000000000000000e+02,2.430000000000000000e+02,4.810000000000000000e+02,1.600000000000000000e+01,3.340000000000000000e+02,1.840000000000000000e+02,0.000000000000000000e+00,1.090000000000000000e+02,1.439000000000000000e+03
5.800000000000000000e+01,1.858800000000000000e+04,3.080000000000000000e+02,5.770000000000000000e+02,2.470000000000000000e+02,5.090000000000000000e+02,1.800000000000000000e+01,3.430000000000000000e+02,2.000000000000000000e+02,0.000000000000000000e+00,1.100000000000000000e+02,1.487000000000000000e+03
5.900000000000000000e+01,1.854400000000000000e+04,3.170000000000000000e+02,5.860000000000000000e+02,2.520000000000000000e+02,5.350000000000000000e+02,1.800000000000000000e+01,3.440000000000000000e+02,2.040000000000000000e+02,0.000000000000000000e+00,1.090000000000000000e+02,1.531000000000000000e+03
6.000000000000000000e+01,1.850600000000000000e+04,3.220000000000000000e+02,5.900000000000000000e+02,2.510000000000000000e+02,5.630000000000000000e+02,1.900000000000000000e+01,3.500000000000000000e+02,2.030000000000000000e+02,0.000000000000000000e+00,1.140000000000000000e+02,1.569000000000000000e+03
6.100000000000000000e+01,1.845800000000000000e+04,3.280000000000000000e+02,6.160000000000000000e+02,2.670000000000000000e+02,5.780000000000000000e+02,2.000000000000000000e+01,3.650000000000000000e+02,2.100000000000000000e+02,0.000000000000000000e+00,1.170000000000000000e+02,1.617000000000000000e+03
6.200000000000000000e+01,1.840800000000000000e+04,3.410000000000000000e+02,6.290000000000000000e+02,2.750000000000000000e+02,6.010000000000000000e+02,2.100000000000000000e+01,3.800000000000000000e+02,2.180000000000000000e+02,0.000000000000000000e+00,1.210000000000000000e+02,1.667000000000000000e+03
6.300000000000000000e+01,1.836200000000000000e+04,3.430000000000000000e+02,6.400000000000000000e+02,2.830000000000000000e+02,6.310000000000000000e+02,2.400000000000000000e+01,3.830000000000000000e+02,2.210000000000000000e+02,0.000000000000000000e+00,1.190000000000000000e+02,1.713000000000000000e+03
