#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases, 11: Cumulative Inf Count 
0.000000000000000000e+00,1.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.996000000000000000e+03,1.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.000000000000000000e+00,9.987000000000000000e+03,8.000000000000000000e+00,6.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01
3.000000000000000000e+00,9.982000000000000000e+03,9.000000000000000000e+00,1.100000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01
4.000000000000000000e+00,9.978000000000000000e+03,1.000000000000000000e+01,1.500000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+01
5.000000000000000000e+00,9.970000000000000000e+03,1.400000000000000000e+01,2.000000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.400000000000000000e+01
6.000000000000000000e+00,9.962000000000000000e+03,1.900000000000000000e+01,2.300000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,4.200000000000000000e+01
7.000000000000000000e+00,9.956000000000000000e+03,2.200000000000000000e+01,2.700000000000000000e+01,1.400000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,4.900000000000000000e+01
8.000000000000000000e+00,9.945000000000000000e+03,2.500000000000000000e+01,3.500000000000000000e+01,1.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,6.100000000000000000e+01
9.000000000000000000e+00,9.935000000000000000e+03,3.000000000000000000e+01,3.900000000000000000e+01,2.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,7.100000000000000000e+01
1.000000000000000000e+01,9.924000000000000000e+03,3.500000000000000000e+01,4.300000000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,8.300000000000000000e+01
1.100000000000000000e+01,9.914000000000000000e+03,3.600000000000000000e+01,5.300000000000000000e+01,3.200000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,2.300000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,9.400000000000000000e+01
1.200000000000000000e+01,9.903000000000000000e+03,4.300000000000000000e+01,5.500000000000000000e+01,3.200000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,2.600000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,1.060000000000000000e+02
1.300000000000000000e+01,9.890000000000000000e+03,4.800000000000000000e+01,6.200000000000000000e+01,3.600000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,1.190000000000000000e+02
1.400000000000000000e+01,9.876000000000000000e+03,5.500000000000000000e+01,6.900000000000000000e+01,4.000000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,3.200000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,1.340000000000000000e+02
1.500000000000000000e+01,9.869000000000000000e+03,5.300000000000000000e+01,7.600000000000000000e+01,4.200000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,3.700000000000000000e+01,1.200000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,1.420000000000000000e+02
1.600000000000000000e+01,9.853000000000000000e+03,6.400000000000000000e+01,7.800000000000000000e+01,3.900000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,4.100000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,1.590000000000000000e+02
1.700000000000000000e+01,9.843000000000000000e+03,6.500000000000000000e+01,8.400000000000000000e+01,3.700000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,4.200000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,1.690000000000000000e+02
1.800000000000000000e+01,9.826000000000000000e+03,6.800000000000000000e+01,9.700000000000000000e+01,5.000000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,4.800000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,2.200000000000000000e+01,1.870000000000000000e+02
1.900000000000000000e+01,9.809000000000000000e+03,7.500000000000000000e+01,1.020000000000000000e+02,5.000000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00,5.200000000000000000e+01,1.800000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,2.070000000000000000e+02
2.000000000000000000e+01,9.790000000000000000e+03,8.000000000000000000e+01,1.160000000000000000e+02,5.800000000000000000e+01,2.600000000000000000e+01,0.000000000000000000e+00,5.700000000000000000e+01,2.200000000000000000e+01,0.000000000000000000e+00,2.800000000000000000e+01,2.300000000000000000e+02
2.100000000000000000e+01,9.763000000000000000e+03,9.600000000000000000e+01,1.270000000000000000e+02,6.500000000000000000e+01,2.900000000000000000e+01,0.000000000000000000e+00,6.200000000000000000e+01,2.200000000000000000e+01,0.000000000000000000e+00,2.900000000000000000e+01,2.610000000000000000e+02
2.200000000000000000e+01,9.744000000000000000e+03,9.800000000000000000e+01,1.410000000000000000e+02,6.900000000000000000e+01,3.500000000000000000e+01,0.000000000000000000e+00,6.600000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,2.600000000000000000e+01,2.830000000000000000e+02
2.300000000000000000e+01,9.715000000000000000e+03,1.040000000000000000e+02,1.610000000000000000e+02,8.200000000000000000e+01,4.100000000000000000e+01,0.000000000000000000e+00,7.400000000000000000e+01,3.500000000000000000e+01,0.000000000000000000e+00,2.900000000000000000e+01,3.150000000000000000e+02
2.400000000000000000e+01,9.682000000000000000e+03,1.210000000000000000e+02,1.700000000000000000e+02,8.800000000000000000e+01,4.900000000000000000e+01,1.000000000000000000e+00,8.300000000000000000e+01,3.600000000000000000e+01,0.000000000000000000e+00,3.200000000000000000e+01,3.520000000000000000e+02
2.500000000000000000e+01,9.653000000000000000e+03,1.320000000000000000e+02,1.860000000000000000e+02,9.300000000000000000e+01,5.400000000000000000e+01,1.000000000000000000e+00,9.100000000000000000e+01,3.900000000000000000e+01,0.000000000000000000e+00,3.300000000000000000e+01,3.850000000000000000e+02
2.600000000000000000e+01,9.619000000000000000e+03,1.450000000000000000e+02,2.030000000000000000e+02,1.010000000000000000e+02,6.100000000000000000e+01,1.000000000000000000e+00,1.000000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,3.600000000000000000e+01,4.220000000000000000e+02
2.700000000000000000e+01,9.590000000000000000e+03,1.470000000000000000e+02,2.230000000000000000e+02,1.110000000000000000e+02,7.100000000000000000e+01,1.000000000000000000e+00,1.090000000000000000e+02,4.300000000000000000e+01,0.000000000000000000e+00,3.300000000000000000e+01,4.540000000000000000e+02
2.800000000000000000e+01,9.558000000000000000e+03,1.500000000000000000e+02,2.480000000000000000e+02,1.260000000000000000e+02,7.700000000000000000e+01,1.000000000000000000e+00,1.150000000000000000e+02,5.200000000000000000e+01,0.000000000000000000e+00,4.700000000000000000e+01,4.900000000000000000e+02
2.900000000000000000e+01,9.531000000000000000e+03,1.550000000000000000e+02,2.660000000000000000e+02,1.330000000000000000e+02,8.400000000000000000e+01,1.000000000000000000e+00,1.230000000000000000e+02,5.900000000000000000e+01,0.000000000000000000e+00,5.200000000000000000e+01,5.200000000000000000e+02
3.000000000000000000e+01,9.490000000000000000e+03,1.670000000000000000e+02,2.900000000000000000e+02,1.440000000000000000e+02,9.100000000000000000e+01,1.000000000000000000e+00,1.440000000000000000e+02,6.800000000000000000e+01,0.000000000000000000e+00,5.000000000000000000e+01,5.640000000000000000e+02
3.100000000000000000e+01,9.446000000000000000e+03,1.930000000000000000e+02,3.020000000000000000e+02,1.480000000000000000e+02,1.000000000000000000e+02,1.000000000000000000e+00,1.540000000000000000e+02,7.100000000000000000e+01,0.000000000000000000e+00,5.100000000000000000e+01,6.110000000000000000e+02
3.200000000000000000e+01,9.415000000000000000e+03,2.000000000000000000e+02,3.180000000000000000e+02,1.520000000000000000e+02,1.100000000000000000e+02,1.000000000000000000e+00,1.600000000000000000e+02,8.000000000000000000e+01,0.000000000000000000e+00,5.400000000000000000e+01,6.450000000000000000e+02
3.300000000000000000e+01,9.387000000000000000e+03,2.020000000000000000e+02,3.310000000000000000e+02,1.580000000000000000e+02,1.220000000000000000e+02,2.000000000000000000e+00,1.700000000000000000e+02,9.700000000000000000e+01,0.000000000000000000e+00,7.300000000000000000e+01,6.760000000000000000e+02
3.400000000000000000e+01,9.364000000000000000e+03,1.990000000000000000e+02,3.400000000000000000e+02,1.650000000000000000e+02,1.380000000000000000e+02,2.000000000000000000e+00,1.720000000000000000e+02,9.900000000000000000e+01,0.000000000000000000e+00,7.900000000000000000e+01,7.020000000000000000e+02
3.500000000000000000e+01,9.333000000000000000e+03,2.070000000000000000e+02,3.460000000000000000e+02,1.720000000000000000e+02,1.540000000000000000e+02,2.000000000000000000e+00,1.840000000000000000e+02,1.010000000000000000e+02,0.000000000000000000e+00,7.800000000000000000e+01,7.360000000000000000e+02
3.600000000000000000e+01,9.299000000000000000e+03,2.160000000000000000e+02,3.570000000000000000e+02,1.670000000000000000e+02,1.670000000000000000e+02,3.000000000000000000e+00,1.890000000000000000e+02,1.050000000000000000e+02,0.000000000000000000e+00,7.900000000000000000e+01,7.730000000000000000e+02
3.700000000000000000e+01,9.272000000000000000e+03,2.190000000000000000e+02,3.710000000000000000e+02,1.670000000000000000e+02,1.770000000000000000e+02,3.000000000000000000e+00,2.010000000000000000e+02,1.140000000000000000e+02,0.000000000000000000e+00,6.800000000000000000e+01,8.030000000000000000e+02
