#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases, 11: Cumulative Inf Count 
0.000000000000000000e+00,5.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.999600000000000000e+04,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.000000000000000000e+00,4.999100000000000000e+04,6.000000000000000000e+00,4.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01
3.000000000000000000e+00,4.998700000000000000e+04,9.000000000000000000e+00,6.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01
4.000000000000000000e+00,4.998300000000000000e+04,8.000000000000000000e+00,1.200000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01
5.000000000000000000e+00,4.997500000000000000e+04,1.200000000000000000e+01,1.700000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.900000000000000000e+01
6.000000000000000000e+00,4.996800000000000000e+04,1.700000000000000000e+01,1.900000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,3.600000000000000000e+01
7.000000000000000000e+00,4.996000000000000000e+04,2.100000000000000000e+01,2.400000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,4.500000000000000000e+01
8.000000000000000000e+00,4.995000000000000000e+04,3.000000000000000000e+01,2.500000000000000000e+01,1.500000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,5.600000000000000000e+01
9.000000000000000000e+00,4.994100000000000000e+04,3.100000000000000000e+01,3.200000000000000000e+01,2.100000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,6.500000000000000000e+01
1.000000000000000000e+01,4.992700000000000000e+04,3.900000000000000000e+01,3.800000000000000000e+01,2.200000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,8.000000000000000000e+01
1.100000000000000000e+01,4.991700000000000000e+04,4.300000000000000000e+01,4.500000000000000000e+01,2.600000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,2.200000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,9.100000000000000000e+01
1.200000000000000000e+01,4.991000000000000000e+04,4.300000000000000000e+01,5.200000000000000000e+01,2.700000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,2.400000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,9.900000000000000000e+01
1.300000000000000000e+01,4.990000000000000000e+04,4.900000000000000000e+01,5.400000000000000000e+01,2.900000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,2.700000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,1.090000000000000000e+02
1.400000000000000000e+01,4.988500000000000000e+04,5.600000000000000000e+01,6.100000000000000000e+01,3.400000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00,1.250000000000000000e+02
1.500000000000000000e+01,4.987200000000000000e+04,6.200000000000000000e+01,6.700000000000000000e+01,3.500000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,3.500000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,1.390000000000000000e+02
1.600000000000000000e+01,4.985900000000000000e+04,6.500000000000000000e+01,7.700000000000000000e+01,4.200000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.400000000000000000e+01,1.530000000000000000e+02
1.700000000000000000e+01,4.984700000000000000e+04,6.500000000000000000e+01,8.700000000000000000e+01,4.700000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,4.000000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.600000000000000000e+01,1.650000000000000000e+02
1.800000000000000000e+01,4.983000000000000000e+04,7.200000000000000000e+01,9.100000000000000000e+01,5.000000000000000000e+01,1.500000000000000000e+01,1.000000000000000000e+00,4.400000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,1.830000000000000000e+02
1.900000000000000000e+01,4.981200000000000000e+04,7.600000000000000000e+01,1.010000000000000000e+02,5.700000000000000000e+01,1.900000000000000000e+01,1.000000000000000000e+00,4.800000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,2.040000000000000000e+02
2.000000000000000000e+01,4.979300000000000000e+04,8.000000000000000000e+01,1.140000000000000000e+02,6.400000000000000000e+01,2.400000000000000000e+01,1.000000000000000000e+00,5.200000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,2.300000000000000000e+01,2.270000000000000000e+02
2.100000000000000000e+01,4.977500000000000000e+04,8.500000000000000000e+01,1.280000000000000000e+02,6.600000000000000000e+01,2.600000000000000000e+01,1.000000000000000000e+00,5.700000000000000000e+01,1.900000000000000000e+01,0.000000000000000000e+00,2.900000000000000000e+01,2.490000000000000000e+02
2.200000000000000000e+01,4.974600000000000000e+04,1.000000000000000000e+02,1.390000000000000000e+02,7.300000000000000000e+01,3.200000000000000000e+01,1.000000000000000000e+00,6.700000000000000000e+01,2.300000000000000000e+01,0.000000000000000000e+00,2.900000000000000000e+01,2.810000000000000000e+02
2.300000000000000000e+01,4.971600000000000000e+04,1.150000000000000000e+02,1.530000000000000000e+02,8.200000000000000000e+01,3.600000000000000000e+01,1.000000000000000000e+00,7.600000000000000000e+01,2.500000000000000000e+01,0.000000000000000000e+00,3.000000000000000000e+01,3.140000000000000000e+02
2.400000000000000000e+01,4.968800000000000000e+04,1.280000000000000000e+02,1.620000000000000000e+02,9.000000000000000000e+01,4.300000000000000000e+01,2.000000000000000000e+00,8.000000000000000000e+01,2.600000000000000000e+01,0.000000000000000000e+00,2.800000000000000000e+01,3.460000000000000000e+02
2.500000000000000000e+01,4.966100000000000000e+04,1.340000000000000000e+02,1.790000000000000000e+02,9.500000000000000000e+01,5.000000000000000000e+01,2.000000000000000000e+00,8.800000000000000000e+01,2.700000000000000000e+01,0.000000000000000000e+00,2.900000000000000000e+01,3.770000000000000000e+02
2.600000000000000000e+01,4.961900000000000000e+04,1.550000000000000000e+02,1.920000000000000000e+02,9.800000000000000000e+01,6.100000000000000000e+01,2.000000000000000000e+00,9.400000000000000000e+01,3.000000000000000000e+01,0.000000000000000000e+00,3.100000000000000000e+01,4.220000000000000000e+02
2.700000000000000000e+01,4.958500000000000000e+04,1.640000000000000000e+02,2.130000000000000000e+02,1.080000000000000000e+02,6.800000000000000000e+01,2.000000000000000000e+00,1.020000000000000000e+02,3.600000000000000000e+01,0.000000000000000000e+00,3.200000000000000000e+01,4.590000000000000000e+02
2.800000000000000000e+01,4.954600000000000000e+04,1.770000000000000000e+02,2.310000000000000000e+02,1.180000000000000000e+02,7.700000000000000000e+01,3.000000000000000000e+00,1.160000000000000000e+02,4.600000000000000000e+01,0.000000000000000000e+00,3.600000000000000000e+01,5.020000000000000000e+02
