#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases, 11: Cumulative Inf Count 
0.000000000000000000e+00,5.000000000000000000e+04,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,4.999600000000000000e+04,2.000000000000000000e+00,3.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
2.000000000000000000e+00,4.999300000000000000e+04,3.000000000000000000e+00,5.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00
3.000000000000000000e+00,4.998800000000000000e+04,7.000000000000000000e+00,7.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01
4.000000000000000000e+00,4.998400000000000000e+04,9.000000000000000000e+00,1.000000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,7.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+01
5.000000000000000000e+00,4.997900000000000000e+04,1.200000000000000000e+01,1.300000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,2.500000000000000000e+01
6.000000000000000000e+00,4.997400000000000000e+04,1.600000000000000000e+01,1.300000000000000000e+01,9.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01
7.000000000000000000e+00,4.996700000000000000e+04,2.000000000000000000e+01,1.600000000000000000e+01,1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.800000000000000000e+01
8.000000000000000000e+00,4.996100000000000000e+04,2.300000000000000000e+01,2.000000000000000000e+01,1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,4.500000000000000000e+01
9.000000000000000000e+00,4.995600000000000000e+04,2.300000000000000000e+01,2.500000000000000000e+01,1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+01
1.000000000000000000e+01,4.994600000000000000e+04,2.700000000000000000e+01,3.100000000000000000e+01,1.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,6.100000000000000000e+01
1.100000000000000000e+01,4.993500000000000000e+04,3.100000000000000000e+01,3.900000000000000000e+01,2.400000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,7.300000000000000000e+01
1.200000000000000000e+01,4.992800000000000000e+04,3.300000000000000000e+01,4.300000000000000000e+01,2.500000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,1.800000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,8.100000000000000000e+01
1.300000000000000000e+01,4.991500000000000000e+04,4.200000000000000000e+01,4.600000000000000000e+01,2.700000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,2.100000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,9.400000000000000000e+01
1.400000000000000000e+01,4.990200000000000000e+04,4.400000000000000000e+01,5.700000000000000000e+01,3.700000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,2.300000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,1.080000000000000000e+02
1.500000000000000000e+01,4.989200000000000000e+04,4.900000000000000000e+01,6.200000000000000000e+01,3.600000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,2.500000000000000000e+01,8.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,1.190000000000000000e+02
1.600000000000000000e+01,4.988100000000000000e+04,5.300000000000000000e+01,6.900000000000000000e+01,4.100000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+00,1.310000000000000000e+02
1.700000000000000000e+01,4.986100000000000000e+04,6.600000000000000000e+01,7.400000000000000000e+01,4.600000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,8.000000000000000000e+00,1.510000000000000000e+02
1.800000000000000000e+01,4.983900000000000000e+04,7.700000000000000000e+01,8.200000000000000000e+01,5.200000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,4.500000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+01,1.740000000000000000e+02
1.900000000000000000e+01,4.981700000000000000e+04,8.800000000000000000e+01,9.000000000000000000e+01,5.600000000000000000e+01,1.400000000000000000e+01,0.000000000000000000e+00,4.700000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.200000000000000000e+01,1.990000000000000000e+02
2.000000000000000000e+01,4.978700000000000000e+04,1.070000000000000000e+02,9.900000000000000000e+01,5.800000000000000000e+01,1.900000000000000000e+01,0.000000000000000000e+00,5.400000000000000000e+01,1.100000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,2.330000000000000000e+02
2.100000000000000000e+01,4.977100000000000000e+04,1.060000000000000000e+02,1.140000000000000000e+02,6.400000000000000000e+01,2.400000000000000000e+01,0.000000000000000000e+00,5.700000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.100000000000000000e+01,2.530000000000000000e+02
2.200000000000000000e+01,4.974200000000000000e+04,1.170000000000000000e+02,1.300000000000000000e+02,7.400000000000000000e+01,2.900000000000000000e+01,0.000000000000000000e+00,6.400000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,1.200000000000000000e+01,2.850000000000000000e+02
2.300000000000000000e+01,4.971700000000000000e+04,1.220000000000000000e+02,1.500000000000000000e+02,8.600000000000000000e+01,3.200000000000000000e+01,0.000000000000000000e+00,7.000000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,1.300000000000000000e+01,3.130000000000000000e+02
2.400000000000000000e+01,4.968900000000000000e+04,1.330000000000000000e+02,1.650000000000000000e+02,9.200000000000000000e+01,3.600000000000000000e+01,0.000000000000000000e+00,7.900000000000000000e+01,2.500000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,3.450000000000000000e+02
2.500000000000000000e+01,4.965300000000000000e+04,1.450000000000000000e+02,1.890000000000000000e+02,1.050000000000000000e+02,3.900000000000000000e+01,0.000000000000000000e+00,9.100000000000000000e+01,3.200000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,3.850000000000000000e+02
2.600000000000000000e+01,4.960700000000000000e+04,1.690000000000000000e+02,2.060000000000000000e+02,1.160000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,1.000000000000000000e+02,3.400000000000000000e+01,0.000000000000000000e+00,1.900000000000000000e+01,4.340000000000000000e+02
2.700000000000000000e+01,4.956600000000000000e+04,1.860000000000000000e+02,2.220000000000000000e+02,1.210000000000000000e+02,5.800000000000000000e+01,0.000000000000000000e+00,1.060000000000000000e+02,3.700000000000000000e+01,0.000000000000000000e+00,2.500000000000000000e+01,4.780000000000000000e+02
2.800000000000000000e+01,4.952300000000000000e+04,2.090000000000000000e+02,2.390000000000000000e+02,1.270000000000000000e+02,6.300000000000000000e+01,0.000000000000000000e+00,1.210000000000000000e+02,4.700000000000000000e+01,0.000000000000000000e+00,3.200000000000000000e+01,5.250000000000000000e+02
