#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases 
7.343800230558810696e-04,9.997000000000000000e+03,1.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000138949172296732e+00,9.796000000000000000e+03,2.020000000000000000e+02,2.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.700000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.001324967437610791e+00,9.578000000000000000e+03,4.160000000000000000e+02,6.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,6.900000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.001705754531110770e+00,9.379000000000000000e+03,6.050000000000000000e+02,1.600000000000000000e+01,1.600000000000000000e+01,0.000000000000000000e+00,0.000000000000000000e+00,1.090000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
4.000066491236950128e+00,9.190000000000000000e+03,7.810000000000000000e+02,2.800000000000000000e+01,2.700000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.530000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
5.000244035308440083e+00,8.996000000000000000e+03,9.540000000000000000e+02,4.900000000000000000e+01,4.800000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,1.900000000000000000e+02,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
6.001852746305645248e+00,8.816000000000000000e+03,1.097000000000000000e+03,8.600000000000000000e+01,8.400000000000000000e+01,1.000000000000000000e+00,0.000000000000000000e+00,2.270000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
7.000926472721726412e+00,8.671000000000000000e+03,1.205000000000000000e+03,1.230000000000000000e+02,1.180000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.530000000000000000e+02,3.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
8.002976042847667060e+00,8.501000000000000000e+03,1.337000000000000000e+03,1.610000000000000000e+02,1.530000000000000000e+02,1.000000000000000000e+00,0.000000000000000000e+00,2.910000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
9.000098793679171649e+00,8.348000000000000000e+03,1.446000000000000000e+03,2.040000000000000000e+02,1.920000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,3.260000000000000000e+02,5.000000000000000000e+00,0.000000000000000000e+00,9.000000000000000000e+00
1.000013021690785742e+01,8.203000000000000000e+03,1.528000000000000000e+03,2.670000000000000000e+02,2.530000000000000000e+02,2.000000000000000000e+00,0.000000000000000000e+00,3.520000000000000000e+02,6.000000000000000000e+00,1.000000000000000000e+00,1.200000000000000000e+01
