#Time, 1: Suscep Indv, 2: No. Exp Indv, 3: No. Inf Indv, 4: No. Cont Indv, 5: No. Rec Indv, 6: No. Dead Indv, 7: Sev Cases, 8: Hosp Cases, 9:Q Sev Cases, 10: QNS Cases 
0.000000000000000000e+00,9.989000000000000000e+03,6.000000000000000000e+00,5.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
1.000000000000000000e+00,9.983000000000000000e+03,1.200000000000000000e+01,4.000000000000000000e+00,3.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
2.000000000000000000e+00,9.978000000000000000e+03,1.600000000000000000e+01,5.000000000000000000e+00,2.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00
3.000000000000000000e+00,9.977000000000000000e+03,1.400000000000000000e+01,8.000000000000000000e+00,4.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,4.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
4.000000000000000000e+00,9.971000000000000000e+03,1.700000000000000000e+01,1.100000000000000000e+01,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+00
5.000000000000000000e+00,9.966000000000000000e+03,2.000000000000000000e+01,1.300000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,6.000000000000000000e+00,0.000000000000000000e+00,0.000000000000000000e+00,3.000000000000000000e+00
6.000000000000000000e+00,9.960000000000000000e+03,2.400000000000000000e+01,1.500000000000000000e+01,7.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
7.000000000000000000e+00,9.954000000000000000e+03,2.700000000000000000e+01,1.700000000000000000e+01,9.000000000000000000e+00,2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
8.000000000000000000e+00,9.946000000000000000e+03,3.000000000000000000e+01,2.200000000000000000e+01,1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00,1.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
9.000000000000000000e+00,9.938000000000000000e+03,3.300000000000000000e+01,2.700000000000000000e+01,1.500000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000000e+00
1.000000000000000000e+01,9.924000000000000000e+03,4.300000000000000000e+01,3.000000000000000000e+01,1.700000000000000000e+01,3.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00
1.100000000000000000e+01,9.921000000000000000e+03,3.900000000000000000e+01,3.500000000000000000e+01,1.800000000000000000e+01,5.000000000000000000e+00,0.000000000000000000e+00,1.200000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,8.000000000000000000e+00
1.200000000000000000e+01,9.916000000000000000e+03,3.700000000000000000e+01,4.000000000000000000e+01,2.100000000000000000e+01,7.000000000000000000e+00,0.000000000000000000e+00,1.300000000000000000e+01,2.000000000000000000e+00,0.000000000000000000e+00,1.100000000000000000e+01
1.300000000000000000e+01,9.913000000000000000e+03,3.600000000000000000e+01,4.200000000000000000e+01,2.000000000000000000e+01,9.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.400000000000000000e+01
1.400000000000000000e+01,9.905000000000000000e+03,3.800000000000000000e+01,4.700000000000000000e+01,2.200000000000000000e+01,1.000000000000000000e+01,0.000000000000000000e+00,1.500000000000000000e+01,4.000000000000000000e+00,0.000000000000000000e+00,1.600000000000000000e+01
1.500000000000000000e+01,9.895000000000000000e+03,4.400000000000000000e+01,4.800000000000000000e+01,2.200000000000000000e+01,1.300000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,6.000000000000000000e+00,0.000000000000000000e+00,2.000000000000000000e+01
1.600000000000000000e+01,9.888000000000000000e+03,4.600000000000000000e+01,5.100000000000000000e+01,2.300000000000000000e+01,1.500000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,6.000000000000000000e+00,1.000000000000000000e+00,2.100000000000000000e+01
1.700000000000000000e+01,9.882000000000000000e+03,4.700000000000000000e+01,5.400000000000000000e+01,2.300000000000000000e+01,1.700000000000000000e+01,0.000000000000000000e+00,1.700000000000000000e+01,6.000000000000000000e+00,2.000000000000000000e+00,2.000000000000000000e+01
1.800000000000000000e+01,9.876000000000000000e+03,4.600000000000000000e+01,5.700000000000000000e+01,2.300000000000000000e+01,2.100000000000000000e+01,0.000000000000000000e+00,1.800000000000000000e+01,6.000000000000000000e+00,4.000000000000000000e+00,2.200000000000000000e+01
